timestamp,movingAverage7,movingAverage30,rsi,price
2024-11-13 21:31:50,88899.00,91529.99,88694.68,28.20
2024-11-13 21:32:00,88899.00,91529.99,88694.68,28.20
2024-11-13 21:33:10,89126.00,91529.99,88694.68,28.20
2024-11-13 21:33:21,89126.00,91529.99,88694.68,28.20
2024-11-13 21:33:30,89126.00,91529.99,88694.68,28.20
2024-11-13 21:33:41,89126.00,91529.99,88694.68,28.20
2024-11-13 21:35:01,89183.00,91529.99,88694.68,28.20
2024-11-13 21:36:02,89364.00,91529.99,88694.68,28.20
2024-11-13 21:37:02,89385.00,91529.99,88694.68,28.20
2024-11-14 08:13:59,91325.00,90075.62,89307.65,75.31
2024-11-14 08:14:59,91339.00,90075.62,89307.65,75.31
2024-11-14 08:15:58,91468.00,90075.62,89307.65,75.31
2024-11-14 08:16:58,91449.00,90075.62,89307.65,75.31
2024-11-14 08:17:58,91348.00,90075.62,89307.65,75.31
2024-11-14 08:18:58,91236.00,90075.62,89307.65,75.31
2024-11-14 08:19:59,91222.00,90075.62,89307.65,75.31
2024-11-14 08:20:58,91158.00,90075.62,89307.65,75.31
2024-11-14 08:21:58,91109.00,90075.62,89307.65,75.31
2024-11-14 08:22:59,90987.00,90075.62,89307.65,75.31
2024-11-14 08:23:59,91009.00,90186.38,89401.39,61.41
2024-11-14 08:24:59,91031.00,90186.38,89401.39,61.41
2024-11-14 08:25:59,91053.00,90186.38,89401.39,61.41
2024-11-14 08:26:59,91106.00,90186.38,89401.39,61.41
2024-11-14 08:27:59,91259.00,90186.38,89401.39,61.41
2024-11-14 09:17:12,90635.00,90186.38,89401.39,61.41
2024-11-14 09:17:53,90477.00,90186.38,89401.39,61.41
2024-11-14 09:19:52,90508.00,90186.38,89401.39,61.41
2024-11-14 09:21:42,90583.00,90186.38,89401.39,61.41
2024-11-14 09:24:30,90806.00,90186.38,89401.39,61.41
2024-11-14 09:25:30,90814.00,90186.38,89401.39,61.41
2024-11-14 09:26:30,90793.00,90186.38,89401.39,61.41
2024-11-14 09:33:56,90639.00,90210.18,89492.69,63.09
2024-11-14 09:34:56,90527.00,90210.18,89492.69,63.09
2024-11-14 09:35:56,90470.00,90210.18,89492.69,63.09
2024-11-14 09:36:56,90468.00,90210.18,89492.69,63.09
